text,label
"SERVICE INCOME 2020 ₹41,996,203",revenue
related party note FY 2024 486290,other
"service income FY 2024 ₹56,654,960",revenue
"Subscription Revenue 85,635,469",revenue
"EBIT FY 2020 13,291,515",profit
"fy 2018 operating income 23,314,807",profit
Prior period items 2023 2542311,other
"Top line 59,881,384",revenue
"FY 2018 EPS basic 33,492,775",other
"fy 2023 EBITDA 80,018,853",profit
"Product sales FY 2024 2,832,955",revenue
"2019 Interest expense ₹27,315,151",expense
"FY 2018 ebit ₹52,697,572",profit
"FY 2022 Income from operations ₹12,560,327",revenue
"OCI adjustment FY 2024 60,871,990",other
"FINANCE COST 2019 39,332,050 (Note 24)",expense
"Sales of goods FY 2022 94,417,587",revenue
fy 2021 Operating Income ₹9812447,profit
DEFERRED TAX FY 2023 ₹57175405,other
Rent expense 56836458,expense
"Operating Income 2019 29,231,001",profit
"PROFIT AFTER TAX (PAT) 2018 ₹43,318,737",profit
deferred tax 2020 802192,other
PBT 2019 35943,profit
"operating income ₹9,807,579",profit
Bottom line 3766121,profit
fy 2020 Tax expense ₹29413864,expense
Exceptional items 2019 2027898,other
"fy 2018 Finance Cost 31,095,155",expense
"schedule 1 FY 2019 57,796,152",other
FY 2020 License fees 29539994,revenue
Contingent liability ₹79913,other
CONTINGENT LIABILITY FY 2023 ₹73846,other
EBIT 2018 ₹35481359,profit
"EBITDA 2023 ₹17,133,475",profit
"TOP LINE FY 2019 44,631,131",revenue
insurance expense 2019 91617,expense
"Operating Income 2020 ₹91,732,649",profit
fy 2022 Segment revenue ₹2813693,revenue
"operating cost ₹2,217,007",expense
"employee benefits ₹69,812,014 (Note 14)",expense
TURNOVER FY 2018 795578,revenue
OCI ADJUSTMENT FY 2021 ₹50012072,other
"license fees 2022 ₹47,338,136",revenue
Selling expenses FY 2018 ₹280925,expense
OPERATING COST ₹61466,expense
FY 2022 Operating Income ₹65166830,profit
"Power and Fuel 2023 ₹38,276,119",expense
"EMPLOYEE BENEFITS ₹15,382,633",expense
"sales revenue 68,225,850",revenue
SALES OF GOODS ₹9102469,revenue
"Segment revenue 74,353,190",revenue
"fy 2023 Reserves and surplus 89,549,737",other
OTHER EXPENSES FY 2021 ₹82536 (Note 23),expense
Merchandise sales 2022 ₹4426900,revenue
FY 2022 Foreign exchange gain 58413856 (Note 14),other
INTEREST EXPENSE 2019 ₹8384567 (Note 10),expense
"Insurance expense FY 2019 ₹96,310,196",expense
"EPS BASIC 2018 84,017,309",other
"OCI adjustment 2024 ₹93,210,283",other
NET SALES 594580,revenue
Cost of materials 2021 ₹88555,expense
Segment revenue 2022 3050700,revenue
eps basic 2022 2929122,other
marketing expense ₹97784425,expense
"Profit Before Tax ₹21,454,984",profit
Cost of Goods Sold FY 2018 ₹1190530,expense
"FY 2019 PROFIT AFTER TAX (PAT) ₹50,861,116",profit
service income ₹586462,revenue
"GROSS REVENUE 2018 ₹24,424,441",revenue
"fy 2023 Earnings after tax ₹74,327,180",profit
License fees FY 2018 3023227,revenue
"OCI adjustment FY 2019 84,292,570",other
2020 Bottom line 63748842 (Note 7),profit
"sales of goods FY 2023 ₹14,022,387",revenue
FY 2018 Subscription Revenue 65343143,revenue
"Exceptional items 56,373,020 (Note 6)",other
"Other Expenses 2023 29,421,554",expense
Service income 2021 309385,revenue
fy 2022 Merchandise sales 7998405,revenue
"selling expenses 20,453,362",expense
fy 2019 earnings from operations ₹1166649,profit
2023 Revenue from operations ₹874879,revenue
"Consolidated revenue 44,315,498",revenue
SELLING EXPENSES 2018 4957943,expense
bottom line 376518,profit
"SALES OF GOODS 2024 93,752,683",revenue
"Net Sales ₹51,207,834",revenue
Reserves and surplus ₹7977306,other
Net Sales FY 2022 73208,revenue
"fy 2021 Sales of goods ₹68,605,983",revenue
"Total Income FY 2022 76,817,229",revenue
"Notes to accounts 26,279,053",other
2023 INTEREST EXPENSE ₹7406139,expense
"exceptional items 34,769,473",other
OPERATING COST 8127897,expense
"Insurance expense FY 2020 ₹1,598,070 (Note 1)",expense
"tax expense 2024 ₹46,613,585",expense
"Consolidated revenue ₹48,199,482",revenue
Total Income FY 2022 ₹73889312,revenue
"EBIT FY 2018 29,243,682",profit
fy 2024 Total Income 823044,revenue
"fy 2018 Other Expenses ₹42,950,260",expense
"Sales Revenue 2024 23,513,164",revenue
"SHARE CAPITAL ₹47,439,495",other
"fy 2023 SCHEDULE 1 ₹41,108,368",other
Prior period items FY 2024 ₹16106,other
Bottom line 2022 962239,profit
Operating profit 739678 (Note 25),profit
"Related party note ₹87,681,821",other
"FOREIGN EXCHANGE GAIN FY 2018 20,671,137",other
Net income 2022 ₹1349361,profit
"MARKETING EXPENSE FY 2022 ₹22,649,802",expense
"FY 2023 SHARE CAPITAL 73,028,165",other
Operating revenue 2018 ₹6445244,revenue
BOTTOM LINE ₹8094270,profit
"2022 Income from operations 48,240,104",revenue
Other Expenses 35198,expense
Power and Fuel 69417259,expense
"Subscription Revenue 17,282,410",revenue
2021 CONSOLIDATED REVENUE 883997,revenue
Profit after tax (PAT) FY 2023 ₹65660855,profit
"sales of goods ₹38,908,073 (Note 11)",revenue
"2023 Notes to accounts 6,994,435 (Note 2)",other
"Net Sales 13,970,137",revenue
Gross Profit 2022 3799611,profit
Consolidated revenue FY 2023 6032437,revenue
Net Profit 2018 80890,profit
"OPERATING PROFIT FY 2022 ₹39,792,688",profit
"Service income 2018 ₹37,145,573",revenue
Prior period items ₹61808983,other
Depreciation Expense 60890,expense
"Selling expenses ₹57,519,612",expense
"Notes to accounts 2019 ₹16,972,569",other
"OTHER EXPENSES FY 2022 ₹51,376,574",expense
"Rental income 2021 35,659,215",revenue
"net profit ₹76,805,219",profit
"FOREIGN EXCHANGE GAIN ₹96,057,863",other
"2023 Subscription Revenue ₹31,175,867",revenue
Income from operations 2022 58887,revenue
2018 insurance expense ₹670297,expense
"PBT FY 2018 85,503,300",profit
Reserves and surplus FY 2019 ₹7997314,other
"Profit after tax (PAT) ₹73,668,872",profit
Employee benefits FY 2018 49134657,expense
Profit after tax (PAT) 2023 68348100,profit
net sales FY 2018 ₹4926181,revenue
"earnings from operations 2022 68,077,044 (Note 13)",profit
net profit FY 2023 ₹5125381,profit
"sales revenue FY 2019 ₹31,050,202",revenue
"Related party note FY 2022 ₹66,597,190",other
selling expenses FY 2018 ₹39308629,expense
"FY 2019 bottom line ₹23,187,964",profit
"2019 professional fees 81,883,362",expense
NET INCOME 638697,profit
profit for the year 17367600,profit
Reserves and surplus 2019 3980960,other
"FY 2023 GROSS REVENUE 1,705,896",revenue
"fy 2022 Sales Revenue ₹92,607,892",revenue
"FY 2019 Share capital 98,092,211",other
"fy 2023 SUBSCRIPTION REVENUE ₹20,971,653",revenue
"FY 2022 selling expenses 41,625,679",expense
"OTHER EXPENSES FY 2023 ₹33,426,439 (Note 19)",expense
FY 2018 Other Expenses 547234,expense
Merchandise sales 2020 988075,revenue
"cost of materials FY 2023 ₹55,094,235 (Note 20)",expense
rent expense FY 2019 99662,expense
Foreign exchange gain 537933,other
"EXCEPTIONAL ITEMS 2023 ₹23,258,465",other
Profit Before Tax 152131,profit
ACCOUNTING POLICY CHANGE ₹96916,other
"Tax expense FY 2023 96,331,745",expense
MARKETING EXPENSE 2018 384566,expense
COST OF GOODS SOLD 3325590,expense
subscription revenue FY 2020 5737922,revenue
fy 2022 Share capital 78239,other
"OPERATING INCOME FY 2022 ₹2,330,166",profit
Earnings after tax FY 2024 640683,profit
"2024 Gross Revenue 69,935,511",revenue
Share capital ₹235495,other
Profit Before Tax 696973,profit
"fy 2023 EBIT ₹49,336,995",profit
"Extraordinary items 2019 2,291,168",other
FY 2021 foreign exchange gain ₹25142,other
segment revenue FY 2024 7295495,revenue
EXTRAORDINARY ITEMS FY 2024 ₹728532,other
Profit Before Tax 2018 48283180,profit
"insurance expense 2020 ₹25,593,591",expense
fy 2019 Cost of materials 14076,expense
EPS basic 2020 ₹49961,other
"Income from operations 2024 ₹2,253,625 (Note 24)",revenue
"INSURANCE EXPENSE FY 2020 ₹35,455,879",expense
fy 2024 schedule 1 931108,other
"EPS basic 2021 19,373,861",other
"ACCOUNTING POLICY CHANGE FY 2019 ₹46,574,884",other
"Other income 14,018,632",other
"2018 Insurance expense ₹67,584,062",expense
"Gross Profit 85,969,174",profit
"deferred tax ₹54,541,282 (Note 5)",other
Operating Income FY 2020 89717,profit
"EPS basic FY 2021 ₹75,958,907",other
service income 2024 ₹32345453,revenue
"R&D EXPENSE ₹45,098,155",expense
"R&D expense 2024 ₹10,535,555",expense
"2018 Gross Profit 41,798,287",profit
fy 2022 Subscription Revenue ₹14141,revenue
Administrative expenses 99753,expense
RELATED PARTY NOTE 2021 ₹329908,other
Cost of materials FY 2020 ₹55751,expense
"EPS basic ₹60,824,562",other
"notes to accounts 2023 77,165,304",other
fy 2020 Profit Before Tax ₹3663973,profit
Subscription Revenue 17220897,revenue
"NET SALES FY 2024 ₹69,753,656",revenue
FY 2022 profit after tax (pat) ₹315258,profit
Finance Cost 17425,expense
SELLING EXPENSES 48946940,expense
"REVENUE FROM OPERATIONS 2019 ₹56,917,849",revenue
Bottom line FY 2023 38383,profit
"OPERATING PROFIT 86,939,969",profit
fy 2020 CONSOLIDATED REVENUE 76514912,revenue
"Share capital 2021 61,834,747",other
"Selling expenses 2021 81,050,851",expense
SUBSCRIPTION REVENUE FY 2024 ₹30705405,revenue
"Rental income ₹5,659,238",revenue
Contingent liability 2023 163145,other
Prior period items FY 2020 47753 (Note 8),other
"other expenses 83,111,227",expense
"Interest expense FY 2023 27,121,907",expense
"professional fees 2022 ₹28,112,838",expense
"Product sales 2019 ₹73,955,989",revenue
"Marketing expense ₹92,389,335",expense
"EARNINGS AFTER TAX FY 2020 ₹44,513,178",profit
SHARE CAPITAL ₹216038,other
Contingent liability 317563,other
cost of materials 2019 ₹30540246,expense
"Profit Before Tax 50,990,941",profit
Schedule 1 914243,other
2018 Finance Cost ₹2064762,expense
employee benefits 2021 27023,expense
GROSS PROFIT 2023 ₹4037459,profit
"fy 2018 Share capital ₹58,263,061",other
"FY 2020 OPERATING COST ₹14,465,273",expense
ACCOUNTING POLICY CHANGE 2024 ₹84990,other
"Notes to accounts 10,726,951 (Note 8)",other
2024 Earnings after tax 9585231,profit
Subscription Revenue 51321368,revenue
"POWER AND FUEL 2020 ₹89,755,272",expense
"Selling expenses FY 2022 ₹1,380,468",expense
SHARE CAPITAL 2018 ₹17949 (Note 11),other
Consolidated revenue 2021 9952696,revenue
"OCI adjustment 2019 8,007,405",other
"TOP LINE 2018 2,591,730",revenue
"fy 2021 EPS basic 58,314,870",other
Bottom line FY 2019 614366,profit
Deferred tax ₹54231976,other
ACCOUNTING POLICY CHANGE ₹489992,other
prior period items FY 2018 53731,other
"OPERATING PROFIT FY 2021 56,072,914",profit
EBIT 52897,profit
R&D EXPENSE ₹6213281,expense
RELATED PARTY NOTE FY 2020 7663542,other
"2024 ACCOUNTING POLICY CHANGE ₹10,395,276",other
Total Income FY 2021 4382135,revenue
Turnover 2023 ₹146489,revenue
"Exceptional items 17,297,661",other
Earnings from operations 2018 ₹842757,profit
profit after tax (pat) 2022 ₹118622,profit
"Cost of materials 19,123,006",expense
CONSOLIDATED REVENUE FY 2018 287316,revenue
"Reserves and surplus FY 2023 70,678,659",other
license fees 95016,revenue
"gross revenue 17,594,302",revenue
"gross revenue ₹75,081,037",revenue
"OTHER EXPENSES 2019 ₹63,558,357",expense
"fy 2018 Top line ₹18,926,833",revenue
fy 2022 Depreciation Expense 5865657,expense
Selling expenses 16187,expense
"FY 2020 NET PROFIT 70,668,914 (Note 19)",profit
2020 EBITDA ₹1398879,profit
EMPLOYEE BENEFITS FY 2022 738081,expense
"RENT EXPENSE 2024 99,117,510 (Note 23)",expense
Top line FY 2023 ₹7053183,revenue
"notes to accounts FY 2023 68,606,323 (Note 9)",other
"Operating profit 2024 ₹50,059,613",profit
Professional fees FY 2020 ₹44191883 (Note 5),expense
Income from operations 45123,revenue
"prior period items FY 2022 92,119,659",other
"fy 2023 Product sales 32,578,051",revenue
"marketing expense ₹21,431,637",expense
rent expense FY 2019 5853000,expense
contingent liability ₹30001,other
EBIT FY 2020 ₹19423062,profit
"fy 2018 OPERATING INCOME ₹29,874,343",profit
"PRODUCT SALES ₹71,771,578",revenue
ADMINISTRATIVE EXPENSES ₹75242,expense
"COST OF MATERIALS FY 2020 55,204,850",expense
"Rent expense 2019 22,405,818",expense
Notes to accounts 43286,other
"Employee benefits 2020 ₹2,243,574",expense
"Share capital FY 2024 ₹50,397,225",other
"fy 2020 Service income 37,379,499",revenue
"2024 Deferred tax 35,456,764",other
"FY 2021 Contingent liability ₹98,948,987",other
fy 2018 LICENSE FEES 63904155,revenue
"FY 2022 administrative expenses ₹72,601,437",expense
"Subscription Revenue ₹88,644,248",revenue
EARNINGS FROM OPERATIONS 2020 ₹85672,profit
segment revenue 15211257,revenue
Notes to accounts ₹1866900,other
"Interest expense 2020 ₹28,881,688",expense
"2021 operating profit 88,438,886 (Note 9)",profit
"employee benefits ₹21,558,787",expense
Operating Cost 2022 ₹831663,expense
Foreign exchange gain FY 2019 47590 (Note 5),other
marketing expense FY 2022 ₹7964689,expense
Operating Income 2023 ₹5602790,profit
rental income FY 2020 421697 (Note 11),revenue
"contingent liability FY 2020 57,715,803 (Note 20)",other
"NOTES TO ACCOUNTS 2018 ₹51,436,814",other
eps basic 2021 ₹45411706,other
2019 ADMINISTRATIVE EXPENSES 835593 (Note 8),expense
"2022 OPERATING PROFIT 83,935,180",profit
Sales of goods 2019 ₹73277,revenue
net profit 2021 88349529,profit
R&D expense 2974150,expense
2019 Operating Cost 92459,expense
"FY 2018 income from operations 36,177,119",revenue
"Turnover 40,007,816",revenue
2020 interest expense 28023391,expense
fy 2019 NET PROFIT ₹86728802,profit
"fy 2019 Net Sales 3,951,068 (Note 8)",revenue
"fy 2024 service income ₹70,268,664",revenue
"Related party note 2021 29,195,284",other
"EBIT ₹3,276,649",profit
"GROSS PROFIT FY 2023 37,317,854 (Note 14)",profit
SCHEDULE 1 21968430,other
OPERATING PROFIT FY 2023 ₹969838,profit
Rental income 9976368,revenue
Accounting policy change 6816305,other
"COST OF MATERIALS 72,577,294",expense
"Power and Fuel 2020 40,065,306",expense
TURNOVER 3137710,revenue
ADMINISTRATIVE EXPENSES FY 2021 7984404,expense
FY 2024 RELATED PARTY NOTE 2755475,other
"TURNOVER 2019 36,795,629",revenue
"cost of materials ₹79,026,828",expense
"PRODUCT SALES 2022 37,291,089 (Note 7)",revenue
FY 2019 Tax expense 5689206 (Note 23),expense
operating profit ₹558506,profit
finance cost FY 2018 ₹375487,expense
2022 contingent liability 798812,other
R&D expense 970071 (Note 1),expense
FY 2023 Sales Revenue 426147,revenue
"2020 Profit Before Tax ₹10,739,300",profit
"fy 2022 FINANCE COST ₹76,279,101",expense
fy 2020 interest expense ₹62508,expense
FY 2022 profit after tax (pat) 5341285,profit
"Profit after tax (PAT) 2023 12,469,350",profit
Net Profit FY 2022 ₹162030,profit
Service income 876513,revenue
"Other income 2024 43,221,175",other
"operating cost ₹49,783,577",expense
"service income 2022 8,865,720",revenue
"OPERATING PROFIT 2021 ₹88,203,057",profit
"operating income 2020 88,095,225",profit
"fy 2019 earnings after tax 87,796,635",profit
ebit FY 2018 ₹2698997,profit
MARKETING EXPENSE 2023 ₹722076,expense
Other Expenses 4987082,expense
rent expense 2023 800901,expense
"Foreign exchange gain FY 2023 ₹67,728,930",other
Depreciation Expense 2019 ₹778929,expense
fy 2021 Profit Before Tax ₹61027154,profit
2020 SALES OF GOODS 6055825,revenue
r&d expense FY 2022 ₹344501 (Note 4),expense
"Accounting policy change ₹76,453,553",other
"fy 2022 Service income 12,763,811",revenue
"Subscription Revenue FY 2019 95,154,946 (Note 1)",revenue
FY 2020 Reserves and surplus 9073323,other
"Sales Revenue 2022 73,025,834",revenue
"Service income FY 2024 ₹14,695,711",revenue
"2018 OCI adjustment 32,783,406",other
FY 2020 EBITDA 12416691,profit
cost of materials FY 2024 ₹97516,expense
"Tax expense 2018 ₹63,623,301",expense
"Other income ₹5,671,087",other
Employee benefits 2019 42819,expense
"NET SALES 2021 ₹86,096,600",revenue
"other expenses FY 2020 ₹81,629,904",expense
marketing expense 2019 ₹3873072,expense
PRIOR PERIOD ITEMS ₹20231363,other
FY 2023 cost of materials 281682,expense
FY 2020 Service income 6749933,revenue
Profit for the year 2018 96437170,profit
"Subscription Revenue 2023 ₹61,901,421",revenue
"DEFERRED TAX 2023 ₹27,695,557",other
"gross profit FY 2022 95,434,562",profit
"FY 2018 gross profit ₹62,935,745",profit
profit before tax ₹2746171 (Note 19),profit
"depreciation expense ₹61,681,831",expense
Net Profit FY 2021 ₹29687189,profit
notes to accounts 2019 ₹98020037,other
"Cost of Goods Sold 2022 75,210,586",expense
"Top line 2020 ₹44,518,633",revenue
R&D expense ₹6200630,expense
"FY 2021 Subscription Revenue 32,685,373 (Note 10)",revenue
EPS basic FY 2018 221183,other
"License fees ₹22,250,132",revenue
"Operating revenue 2021 ₹59,932,277",revenue
FY 2023 Marketing expense ₹42660,expense
Rent expense 2023 91446,expense
fy 2019 CONTINGENT LIABILITY 82662,other
"r&d expense 51,769,505",expense
2019 SHARE CAPITAL 594116,other
2021 oci adjustment ₹58566617,other
"PRODUCT SALES 2023 ₹37,432,097",revenue
FY 2022 profit before tax ₹6082338,profit
"Net income ₹10,711,020",profit
"2020 Profit after tax (PAT) 26,900,207",profit
"2021 Profit for the year 18,579,036",profit
"EPS basic 52,388,563 (Note 10)",other
"2019 Gross Revenue 84,545,485",revenue
"net income 2023 ₹8,011,300 (Note 11)",profit
OTHER EXPENSES ₹7960470,expense
"FY 2024 Cost of materials ₹67,682,223",expense
CONTINGENT LIABILITY FY 2020 541007,other
"Earnings from operations 2019 34,900,048",profit
foreign exchange gain 998243,other
"Foreign exchange gain ₹28,940,267",other
"schedule 1 FY 2022 ₹16,120,289",other
Schedule 1 2018 ₹7603239,other
Schedule 1 ₹70494583,other
"FINANCE COST FY 2021 ₹2,860,085",expense
Cost of materials ₹6368975,expense
Profit Before Tax FY 2021 96407,profit
"Top line ₹59,471,007",revenue
FY 2018 Finance Cost 9047872,expense
"2022 INTEREST EXPENSE 58,601,203",expense
"CONTINGENT LIABILITY 76,924,676",other
eps basic 61811,other
"Net Profit FY 2023 ₹58,500,558",profit
"OCI adjustment ₹36,056,451",other
Gross Revenue 2023 92631441 (Note 12),revenue
Earnings after tax 2018 ₹514279,profit
CONTINGENT LIABILITY 2024 10205,other
interest expense 41162829,expense
"2023 Cost of Goods Sold 97,184,371",expense
"cost of materials ₹65,705,873",expense
"R&D EXPENSE FY 2018 ₹1,478,262",expense
"profit after tax (pat) ₹91,906,441",profit
"Revenue from operations 2021 35,546,951",revenue
FY 2024 Sales of goods ₹438065,revenue
"PROFIT FOR THE YEAR 2019 ₹94,340,084",profit
"EBIT ₹13,719,886",profit
"other expenses FY 2020 ₹63,464,545",expense
Income from operations FY 2023 2920509 (Note 11),revenue
2021 net income 466901,profit
Professional fees ₹44265686,expense
Contingent liability ₹380991,other
FY 2021 Selling expenses 7765068,expense
"Operating revenue FY 2023 92,304,533",revenue
"license fees FY 2023 ₹48,454,738",revenue
pbt 20415,profit
Reserves and surplus FY 2021 ₹30395679,other
Product sales 2020 ₹4139896,revenue
"deferred tax ₹83,519,706",other
Earnings after tax 64466,profit
"fy 2019 R&D expense 65,139,615",expense
"Operating Cost FY 2021 ₹14,725,889 (Note 13)",expense
"subscription revenue 2020 ₹64,301,933",revenue
Operating Income 2727684,profit
"fy 2020 Reserves and surplus 60,978,223",other
"EBITDA 2022 44,626,867",profit
"NOTES TO ACCOUNTS 2024 ₹28,623,034",other
FY 2022 TOTAL INCOME 4820869 (Note 2),revenue
"Net Profit FY 2021 99,335,561",profit
foreign exchange gain FY 2018 88770,other
"FY 2023 oci adjustment 18,188,910",other
Net Profit 2019 98794105,profit
"FY 2018 EBITDA ₹91,677,362",profit
"Accounting policy change 2023 10,663,030",other
Net income 2020 ₹15174414,profit
"Turnover ₹11,440,049",revenue
FY 2023 R&D expense ₹704625,expense
Profit for the year 2021 6561607,profit
"EPS basic ₹67,873,771",other
"NET PROFIT ₹39,118,079 (Note 19)",profit
"EARNINGS AFTER TAX 2018 88,444,347",profit
"PRIOR PERIOD ITEMS ₹39,294,170",other
"PBT FY 2020 58,922,401",profit
"Earnings from operations ₹91,968,218",profit
"EBITDA 79,543,849",profit
COST OF MATERIALS 306851,expense
"rent expense 2023 ₹78,958,503",expense
NET PROFIT ₹89946310,profit
"PBT 2019 26,540,721",profit
"2019 operating profit ₹98,919,811",profit
2024 PBT ₹647818,profit
"Tax expense ₹12,349,448 (Note 6)",expense
"Marketing expense 2022 241,149",expense
"Selling expenses FY 2023 23,566,421",expense
Foreign exchange gain FY 2020 2734089,other
cost of materials 76462542,expense
"Profit Before Tax 2022 ₹85,642,155",profit
"Other Expenses 2022 71,734,347",expense
"Merchandise sales FY 2020 94,193,874",revenue
"accounting policy change 2018 ₹41,830,111",other
Other Expenses 4003831,expense
"Tax expense 2022 43,095,133",expense
"Turnover 2019 ₹88,804,019",revenue
"Contingent liability 2019 10,236,407",other
Rental income FY 2020 ₹48899945,revenue
TURNOVER FY 2019 3484601 (Note 12),revenue
"net profit FY 2022 ₹32,329,221",profit
"FY 2018 Share capital ₹57,863,680",other
REVENUE FROM OPERATIONS 2019 ₹75509,revenue
fy 2021 Rental income 229660,revenue
"OTHER EXPENSES 2018 30,702,764",expense
fy 2019 SCHEDULE 1 ₹10244,other
"Prior period items ₹667,717",other
"NET SALES FY 2024 ₹2,235,246",revenue
Depreciation Expense 2019 765030,expense
"Sales Revenue ₹50,309,293",revenue
2018 PBT 64918951,profit
FY 2024 tax expense 21832897,expense
License fees ₹5746166,revenue
"cost of goods sold FY 2020 74,980,512",expense
Net Sales 2021 ₹37653,revenue
"Topline revenue FY 2022 ₹51,171,302",revenue
NET PROFIT FY 2024 ₹9028183,profit
"Accounting policy change ₹46,705,850",other
fy 2018 exceptional items ₹214136,other
"fy 2023 EBITDA 57,146,487",profit
FY 2020 Extraordinary items ₹86493396,other
"fy 2019 POWER AND FUEL ₹38,595,157",expense
"Topline revenue 11,540,777",revenue
"cost of goods sold FY 2023 ₹74,614,128",expense
total income ₹5487442,revenue
OCI adjustment FY 2021 ₹7797745,other
2018 NET INCOME ₹28768758,profit
"PBT ₹2,982,319",profit
2021 EBITDA ₹63148619,profit
GROSS PROFIT ₹80393,profit
Income from operations ₹93090,revenue
"Extraordinary items 2024 ₹30,836,648",other
"consolidated revenue FY 2024 40,373,741",revenue
Accounting policy change FY 2018 ₹7022947,other
Cost of Goods Sold FY 2022 29799652,expense
FY 2024 Profit after tax (PAT) ₹66501883,profit
"Accounting policy change 2022 ₹97,751,221",other
Subscription Revenue 2018 11590610,revenue
"2021 INCOME FROM OPERATIONS ₹18,782,457",revenue
"FY 2020 operating income 50,635,874",profit
Other Expenses ₹427216,expense
"TOTAL INCOME 2024 28,219,370",revenue
"2018 Topline revenue ₹20,028,882",revenue
"2019 subscription revenue 98,742,831",revenue
Net Profit FY 2020 148465,profit
"oci adjustment 2019 ₹22,542,069 (Note 12)",other
interest expense FY 2024 ₹212430,expense
Schedule 1 ₹198031,other
"FY 2019 schedule 1 37,324,432",other
"Sales of goods 2023 ₹82,770,444",revenue
FOREIGN EXCHANGE GAIN 83787492,other
"2018 OTHER EXPENSES ₹57,253,444",expense
FY 2021 earnings from operations ₹934189,profit
Rental income ₹6815525,revenue
"2021 Operating revenue ₹34,182,362",revenue
Revenue from operations ₹57395992,revenue
"Notes to accounts 2021 ₹13,916,583 (Note 23)",other
FY 2023 finance cost 54430783,expense
Selling expenses 3920716,expense
Reserves and surplus 2023 690058,other
Operating Cost 2024 ₹70456,expense
Earnings after tax FY 2024 1400196,profit
"related party note FY 2022 58,046,754",other
"POWER AND FUEL FY 2024 ₹64,068,411",expense
"Other Expenses FY 2020 95,966,504",expense
"FY 2023 Sales Revenue 9,371,974",revenue
Other income 2021 ₹50762,other
"Profit for the year 92,839,793",profit
Accounting policy change FY 2024 ₹793816 (Note 9),other
"EARNINGS AFTER TAX FY 2020 96,767,861",profit
Reserves and surplus ₹34888,other
"FY 2021 Contingent liability 9,538,216",other
"profit for the year FY 2018 ₹2,321,149",profit
"fy 2018 Employee benefits ₹61,292,777",expense
Earnings from operations FY 2019 ₹54234067,profit
"FY 2024 Operating Cost ₹19,727,109",expense
EBITDA 2022 ₹89098795,profit
OPERATING COST 42232,expense
subscription revenue 2020 ₹56805,revenue
"FY 2024 turnover 48,065,656",revenue
2024 Subscription Revenue 9598757,revenue
FY 2022 operating income ₹38887,profit
prior period items 2021 26250534,other
